iter	Passed	Remaining
0	1	112
1	2	101
2	2	96
3	3	87
4	4	84
5	5	81
6	5	79
7	6	77
8	7	75
9	8	74
10	9	73
11	9	72
12	10	70
13	11	69
14	12	68
15	12	67
16	13	67
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
